序号,店名,商家主体,来客账号负责人,授权手机号,门店名称,是否试点,授权状态,开放平台应用名称,商家授权时间,门店ID/POI ID,品牌员工号条件,备注
1,,,,,,是,待授权,,,,待确认,
2,佳木斯,,,,佳木斯,是,已授权并验证订单查询,,2026-05-19,6601144145534781447,待确认,account_id: 7361606226175707187；原记录 7361606226175700000 疑似长数字截断；2026-05-19 服务器订单查询返回 error_code 0、total 2、样例订单 1093011503076504663
3,,,,,,否,待授权,,,,待确认,
4,,,,,,否,待授权,,,,待确认,
5,,,,,,否,待授权,,,,待确认,
6,,,,,,否,待授权,,,,待确认,
7,,,,,,否,待授权,,,,待确认,
8,,,,,,否,待授权,,,,待确认,
9,,,,,,否,待授权,,,,待确认,
10,,,,,,否,待授权,,,,待确认,
11,,,,,,否,待授权,,,,待确认,
12,,,,,,否,待授权,,,,待确认,
