timestamp,tag_id,anchor_id,actual_x,actual_y,actual_distance,reported_distance,line_of_sight,notes
2026-06-09T10:48:24.924+08:00,T01,A01,,,3.7,2.4108,yes,A01-T01 repeated AT+DISTANCE test
2026-06-09T10:48:25.937+08:00,T01,A01,,,3.7,2.3874,yes,A01-T01 repeated AT+DISTANCE test
2026-06-09T10:48:26.971+08:00,T01,A01,,,3.7,2.3686,yes,A01-T01 repeated AT+DISTANCE test
2026-06-09T10:48:27.986+08:00,T01,A01,,,3.7,2.4296,yes,A01-T01 repeated AT+DISTANCE test
2026-06-09T10:48:29.001+08:00,T01,A01,,,3.7,2.4108,yes,A01-T01 repeated AT+DISTANCE test
2026-06-09T10:48:30.038+08:00,T01,A01,,,3.7,2.4015,yes,A01-T01 repeated AT+DISTANCE test
2026-06-09T10:48:31.053+08:00,T01,A01,,,3.7,2.3639,yes,A01-T01 repeated AT+DISTANCE test
2026-06-09T10:48:32.065+08:00,T01,A01,,,3.7,2.4202,yes,A01-T01 repeated AT+DISTANCE test
2026-06-09T10:48:33.101+08:00,T01,A01,,,3.7,2.4108,yes,A01-T01 repeated AT+DISTANCE test
2026-06-09T10:48:34.115+08:00,T01,A01,,,3.7,2.4015,yes,A01-T01 repeated AT+DISTANCE test
2026-06-09T10:48:35.128+08:00,T01,A01,,,3.7,2.4343,yes,A01-T01 repeated AT+DISTANCE test
